4.316,-47,-473,-233
4.329,-47,-480,-228
4.361,-43,-480,-224
4.374,-44,-481,-224
4.385,-42,-477,-228
4.396,-38,-475,-228
4.409,-37,-478,-232
4.434,-36,-480,-230
4.464,-34,-474,-230
5.023,-41,-463,-238
5.041,-40,-468,-241
5.056,-40,-471,-236
5.072,-42,-478,-233
5.223,-39,-480,-234
5.244,-39,-478,-233
5.262,-40,-478,-235
5.278,-40,-477,-237
5.294,-44,-475,-239
5.309,-41,-472,-237
5.414,-38,-471,-232
5.431,-37,-470,-230
5.445,-41,-471,-235
5.46,-40,-474,-231
5.476,-38,-472,-230
5.491,-41,-469,-239
5.614,-40,-471,-237
5.632,-40,-468,-243
5.647,-38,-464,-248
5.662,-37,-465,-248
5.677,-36,-465,-246
5.692,-36,-467,-243
5.707,-40,-472,-239
5.824,-38,-468,-237
5.846,-37,-469,-232
5.866,-36,-469,-236
5.886,-36,-467,-245
5.905,-38,-466,-244
5.925,-37,-465,-240
5.953,-49,-473,-226
6.023,-52,-473,-227
6.047,-50,-475,-228
6.066,-49,-472,-230
6.081,-46,-470,-235
6.096,-45,-474,-240
6.111,-46,-473,-240
6.131,-41,-480,-234
6.207,-40,-485,-228
6.221,-40,-489,-224
6.234,-44,-483,-228
6.247,-40,-480,-232
6.26,-35,-480,-232
6.273,-40,-479,-228
6.287,-37,-477,-225
6.418,-41,-477,-224
6.433,-42,-477,-220
6.451,-45,-473,-224
6.466,-47,-471,-226
6.48,-45,-478,-225
6.497,-46,-478,-222
6.512,-41,-486,-220
6.613,-36,-485,-222
6.632,-36,-483,-219
6.648,-42,-484,-217
6.663,-45,-487,-219
6.68,-42,-488,-226
6.698,-39,-482,-227
6.714,-42,-488,-231
6.812,-41,-486,-217
6.827,-40,-479,-214
6.842,-40,-472,-222
6.857,-38,-470,-225
6.872,-46,-466,-227
7.013,-45,-464,-232
7.029,-40,-466,-228
7.045,-40,-466,-228
7.061,-36,-475,-237
7.21,-43,-478,-237
7.226,-43,-478,-237
7.243,-43,-475,-239
7.26,-41,-472,-235
7.279,-41,-472,-233
7.3,-33,-477,-234
7.408,-34,-477,-235
7.426,-33,-473,-240
7.44,-32,-469,-242
7.453,-41,-471,-241
7.466,-44,-470,-245
7.478,-37,-466,-245
7.608,-38,-470,-242
7.625,-41,-478,-239
7.641,-43,-477,-244
7.808,-40,-464,-242
7.823,-38,-467,-247
7.837,-35,-466,-246
7.851,-35,-461,-244
8.008,-38,-465,-242
8.026,-37,-465,-245
8.041,-36,-463,-247
8.056,-36,-464,-247
8.071,-36,-469,-248
8.206,-36,-469,-244
8.222,-35,-470,-244
8.237,-35,-469,-244
8.254,-36,-471,-242
8.269,-36,-474,-239
8.286,-38,-476,-237
8.302,-47,-478,-237
8.406,-47,-471,-237
8.424,-45,-468,-238
8.438,-42,-471,-239
8.45,-39,-474,-240
8.462,-39,-478,-240
8.476,-42,-475,-240
8.488,-38,-473,-239
8.595,-37,-469,-241
8.611,-36,-467,-241
8.628,-34,-470,-234
8.645,-35,-474,-229
8.662,-37,-476,-230
8.677,-37,-476,-236
8.692,-37,-477,-239
8.795,-36,-477,-233
8.817,-38,-477,-233
8.835,-41,-477,-234
8.853,-40,-477,-237
8.873,-44,-475,-233
9.006,-48,-476,-232
9.021,-46,-479,-232
9.038,-45,-480,-232
9.053,-51,-479,-221
9.194,-49,-473,-219
9.21,-44,-473,-228
9.225,-44,-467,-232
9.24,-44,-470,-232
9.256,-45,-472,-213
9.395,-42,-472,-221
9.41,-41,-473,-229
9.431,-40,-477,-224
9.449,-44,-481,-218
9.465,-48,-485,-221
9.481,-37,-482,-229
9.597,-38,-479,-235
9.612,-41,-482,-233
9.626,-43,-482,-233
9.64,-41,-477,-234
9.655,-36,-479,-233
9.669,-42,-468,-241
9.794,-41,-466,-234
9.809,-38,-466,-231
9.826,-39,-463,-236
9.84,-39,-462,-232
9.856,-43,-474,-240
9.999,-39,-476,-236
10.016,-35,-474,-234
10.031,-38,-474,-237
10.046,-38,-474,-237
10.061,-38,-466,-244
10.191,-43,-468,-246
10.209,-48,-471,-245
10.224,-48,-471,-245
10.237,-46,-472,-247
10.252,-38,-475,-239
10.389,-41,-470,-242
10.413,-45,-470,-242
10.432,-42,-470,-237
10.451,-41,-474,-232
10.47,-35,-475,-246
10.582,-37,-474,-241
10.599,-41,-473,-240
10.613,-42,-471,-240
10.626,-41,-470,-238
10.639,-38,-467,-241
10.652,-34,-472,-239
10.791,-41,-470,-246
10.807,-45,-470,-247
10.821,-42,-471,-243
10.836,-40,-482,-229
10.979,-40,-484,-233
11.19,-38,-482,-237
11.208,-39,-475,-232
11.224,-41,-474,-228
11.24,-41,-478,-230
11.255,-45,-479,-237
11.27,-44,-474,-236
11.285,-36,-478,-224
11.388,-38,-475,-226
11.403,-37,-468,-227
11.418,-38,-468,-223
11.583,-41,-475,-226
11.597,-40,-476,-225
11.619,-37,-478,-229
11.635,-38,-480,-231
11.651,-39,-474,-227
11.666,-47,-477,-231
11.781,-49,-471,-227
11.978,-49,-474,-226
11.993,-44,-480,-223
12.006,-40,-476,-217
12.021,-38,-477,-223
12.035,-37,-477,-226
12.051,-41,-473,-236
12.067,-38,-479,-236
12.187,-39,-487,-236
12.202,-41,-486,-234
12.377,-43,-483,-233
12.392,-43,-482,-230
12.408,-41,-479,-231
12.421,-38,-478,-236
12.437,-38,-480,-240
12.464,-41,-480,-236
12.483,-34,-474,-234
12.576,-33,-471,-229
12.591,-39,-464,-228
12.603,-41,-460,-232
12.616,-38,-463,-236
12.629,-39,-470,-236
12.641,-44,-474,-238
12.655,-41,-480,-243
12.765,-38,-478,-245
12.778,-39,-484,-247
12.79,-42,-485,-243
12.809,-43,-476,-241
12.82,-43,-472,-243
12.976,-41,-475,-241
12.989,-39,-475,-238
13.003,-33,-474,-231
13.016,-28,-476,-229
13.029,-36,-472,-237
13.041,-42,-470,-241
13.063,-42,-467,-244
13.175,-41,-472,-242
13.192,-38,-471,-241
13.364,-39,-470,-240
13.575,-44,-469,-240
13.59,-48,-467,-238
13.605,-48,-467,-238
13.62,-40,-467,-242
13.635,-42,-481,-226
13.649,-44,-472,-217
13.775,-41,-468,-231
13.791,-41,-468,-231
13.806,-40,-473,-225
13.821,-40,-473,-224
13.837,-36,-469,-231
13.853,-40,-469,-231
13.971,-40,-476,-235
13.987,-38,-479,-233
14.001,-39,-474,-233
14.017,-41,-473,-227
14.033,-43,-480,-230
14.05,-41,-480,-235
14.072,-44,-482,-230
14.163,-44,-481,-231
14.179,-42,-483,-229
14.196,-41,-484,-224
14.21,-42,-478,-220
14.225,-43,-475,-218
14.239,-39,-481,-221
14.255,-37,-469,-225
14.371,-34,-473,-224
14.387,-37,-477,-228
14.401,-39,-481,-226
14.416,-39,-483,-223
14.431,-39,-480,-228
14.448,-40,-476,-234
14.468,-40,-483,-243
14.561,-40,-482,-241
14.577,-42,-484,-236
14.591,-41,-478,-234
14.608,-38,-475,-229
14.622,-37,-480,-228
14.638,-36,-481,-226
14.655,-43,-466,-235
14.762,-41,-466,-235
14.778,-38,-470,-227
14.793,-39,-476,-223
14.807,-44,-479,-232
14.872,-44,-482,-241
14.886,-39,-481,-240
14.9,-39,-460,-234
14.96,-39,-465,-237
14.979,-40,-467,-234
14.995,-38,-470,-233
15.008,-39,-474,-237
15.032,-37,-467,-236
15.046,-34,-466,-236
15.061,-39,-466,-243
15.16,-40,-472,-241
15.175,-38,-468,-238
15.193,-37,-460,-239
15.205,-36,-458,-244
15.217,-36,-458,-246
15.23,-38,-457,-247
15.244,-42,-463,-245
15.354,-39,-464,-253
15.373,-39,-463,-250
15.393,-42,-466,-247
15.411,-45,-470,-245
15.443,-44,-469,-245
15.464,-42,-467,-244
15.484,-38,-471,-241
15.561,-39,-464,-243
15.758,-41,-464,-242
15.773,-40,-469,-232
15.788,-40,-469,-230
15.804,-46,-469,-237
15.819,-47,-467,-241
15.833,-41,-470,-245
15.848,-36,-478,-251
15.958,-39,-475,-250
15.974,-37,-480,-245
15.988,-36,-479,-242
16.003,-38,-478,-239
16.017,-37,-484,-239
16.032,-43,-482,-242
